prov,personno,c_gender,d_age,e_population,Q11reltohead,J_MOTORIS,K_WORKING,Q171SALARIES,Q172INBUSIN,Q173REMITT,Q174PENS,Q175GRANTS,Q176FARMPROD,Q177OTHER,Q18MAININCOME,Q21topiccrime,Q21bHowLong,Q2211Murder,Q2212StrRob,Q2213HomeRob,Q2214BussRob,Q2215Hijack,Q2216Assault,Q2217SexAssult,Q2218ChildAbuse,Q2219Political,Q22110Vigilante,Q22111BagSnatch,Q22112Bicycle,Q22113Car,Q22114Burglary,Q22115Crop,Q22116Livestock,Q22117WhiteCollar,Q22118damage,Q22119IDtheft,Q22120HumanTrafficking,Q22121DrugTrafficking,Q22122HateCrime,Q22123Other,Q2221Murder,Q2222StrRob,Q2223HomeRob,Q2224BussRob,Q2225Hijack,Q2226Assault,Q2227SexAssult,Q2228ChildAbuse,Q2229Political,Q22210Vigilante,Q22211BagSnatch,Q22212Bicycle,Q22213Car,Q22214Burglary,Q22215Crop,Q22216Livestock,Q22217WhiteCollar,Q22218damage,Q22219IDtheft,Q22220HumanTrafficking,Q22221DrugTrafficking,Q22222HateCrime,Q22223Other,Q23LeviolCrime,Q24PropCrime,Q251PubTrans,Q252WalkShop,Q253WalkTown,Q254dressing,Q255expressing,Q256Parks,Q257ChildPlay,Q258ChildWalk,Q259Livestock,Q2510Investing,Q2511WalkFetchwood,Q26PropCrime,Q27ViolCrime,Q28WalkDark,Q29WalkDay,Q210CommitCrime,Q31GovSpend,Q321Home,Q322Vehicle,Q323Weapons,Q324PrivSecur,Q325SelfHelp,Q326Other,Q33FeelSafer,Q34Group,Q35OrgGroup,Q36Victims,Q371Courts,Q372Police,Q373VEMTcentres,Q374Medinsti,Q375NGO,Q376Other,Q41AccMed,Q421Police,Q422Hospital,Q423Clinic,Q424Doctor,Q425NGO,Q426VicEmpower,Q427Tradleader,Q428Courts,Q429Other,Q43Counsel,Q441Police,Q442Hospital,Q443Clinic,Q444PrivDoc,Q445NGO,Q446VicEmpCen,Q447Trad,Q448Courts,Q449Other,Q45SafetyShelter,Q46ShelterSafety,Q47sheltplcmodtran,Q51Neighbour,Q52Watch,Q53Trust,Q541RELGROUP,Q542STOKVEL,Q543CCPF,Q544SPORTS,Q545Other,Q55Forum,Q56Freqheld,Q61NEARPOLSTA,Q62Time,Q63POLSTA3YRS,Q64ContPolice,Q65Time,Q66Satisfied,Q67SatisfyPolice,Q68NotSatifyPolice,Q69Visible,Q610SPEC1YR,Q611REDUCE,Q612APPROACH,Q613SAPS,Q614Metro,Q7a1DiscussCourt,Q7a2AttCourt,Q7a3Why,Q7a4ssviolcrim,Q7a5SatisfServ,Q7a6Whysatisf,Q7a7Whynot,Q7b1heardtrfprsn,Q7b21Media,Q7b22AwrCamp,Q7b23Thrufamfrnd,Q7b24Victim,Q7b25Witness,Q7b26Read,Q7b27Other,Q7b3Main_Reasfor_Traffic,Q7b41joboffer,Q7b42SocNet,Q7b43lifchngoffer,Q7b44lift,Q7b45blackmail,Q7b46freedrugs,Q7b47abduct,Q7b48other,Q7b51yunggirl,Q7b52yungboy,Q7b53unemplyd,Q7b54poor,Q7b55women,Q7b56chldhrdhous,Q7b57subsabus,Q7b58other,Q7b6knwreport,Q7b7ifyeswhr,Q7b8plcsafty,Q7b9sheltnatur,Q7b10knwldglaw,Q7b11reductraff,Q81Prison,Q82welcomprisna,Q83provdemplym,Q84SatisRehabilitate,Q851rehabilitat,Q852crokcolleg,Q853comfort,Q854easyparol,Q855rytviolat,Q856easyexcp,Q857notrecomit,Q858saflockaway,Q91ReportCorruption,Q92ifyesWhere,Q931Realneed,Q932Greed,Q933Getrich,Q934Other,Q94coruptlevlchng,Q95bribreasn,Q96GOVTCorrupt,Q10aCar,Q10aExp,Q10aMany,Q10aMnth,Q10aYear,Q10bHous,Q10bExp,Q10bMany,Q10bMnth,Q10bYear,Q10cHomeRob,Q10cExp,Q10cMany,Q10cMnth,Q10cYear,Q10dLiveStck,Q10dExp,Q10dMany,Q10dMnth,Q10dYear,Q10eCrops,Q10eExp,Q10eMany,Q10eMnth,Q10eYear,Q10fMurder,Q10fExp,Q10fMany,Q10fMnth,Q10fYear,Q10gTrafpersons,Q10gExp,Q10gMany,Q10gMnth,Q10gYear,Q10hMVehicle,Q10hExp,Q10hMany,Q10hMnth,Q10hYear,Q10iDamageDU,Q10iExp,Q10iMany,Q10iMnth,Q10iYear,Q10jDamageVeh,Q10jExp,Q10jMany,Q10jMnth,Q10jYear,Q10kTheftBic,Q10kExp,Q10kMany,Q10kMnth,Q10kYear,Q10lOther,Q10lExp,Q10lMany,Q10lMnth,Q10lYear,Q10mSexual,Q10mMale,Q10mFMale,Q10mMnth,Q10mYear,Q10nAssault,Q10nMale,Q10nFMale,Q10nMnth,Q10nYear
1,1,1,68,4,1,1,1,1,1,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,3,3,3,2,3,2,2,4,2,1,1,1,1,2,1,2,2,2,1,3,3,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,4,1,1,1,2,9,2,88,4,4,2,8,2,2,2,1,2,8,2,2,8,8,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,1,2,9,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,9,1,2,2,2,1,6,17,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,1,0,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,2,69,4,1,2,88,2,2,2,1,2,2,1,4,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,3,3,3,2,3,2,2,4,2,3,4,1,1,2,2,1,2,1,1,3,4,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,8,8,1,2,1,2,2,1,2,2,1,4,1,1,1,2,9,1,1,8,4,2,8,1,1,1,1,2,8,2,1,3,9,1,1,2,2,2,2,2,2,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,9,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,7,17,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,74,4,1,1,1,2,2,2,1,2,2,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,2,3,2,2,3,2,3,4,1,1,2,2,2,2,2,1,3,6,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,8,8,1,2,2,2,2,2,2,2,1,4,1,1,2,2,9,1,1,8,4,2,8,1,1,1,2,2,8,2,2,8,4,1,1,2,2,2,2,2,2,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,9,3,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,7,16,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,67,4,1,1,2,1,2,2,1,2,2,2,4,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,3,3,3,2,2,2,2,4,2,3,4,1,3,2,1,1,2,1,1,2,3,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,8,8,1,1,2,2,2,1,1,2,1,4,1,1,1,2,9,1,1,8,1,2,8,1,1,1,1,2,8,1,2,8,5,1,1,2,2,2,2,2,2,5,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,9,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,9,1,2,1,2,1,7,17,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,2,40,4,1,1,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,3,2,3,2,2,3,2,1,4,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,8,8,1,1,2,2,2,1,2,2,1,4,1,1,1,2,9,2,88,1,2,1,1,1,1,1,2,2,8,2,2,8,4,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,9,1,1,2,1,1,2,2,2,2,1,1,1,2,1,2,9,2,2,1,2,1,1,17,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,1,0,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,44,4,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,3,2,3,2,2,4,2,3,1,1,1,2,1,2,2,1,1,3,3,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,8,8,1,2,2,1,2,2,2,2,1,4,1,1,1,2,9,1,1,8,4,2,8,1,1,1,2,2,8,2,2,8,2,1,1,2,2,2,2,2,2,5,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2,9,3,3,2,1,1,2,2,1,2,1,1,1,2,2,2,9,2,1,2,2,1,6,16,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,2,46,1,1,2,88,2,2,2,2,1,2,2,5,1,3,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,3,2,2,1,1,1,3,1,3,1,1,4,3,3,3,1,3,2,2,2,1,2,2,9,6,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,8,8,1,1,2,1,1,2,2,2,2,9,1,1,1,2,9,1,3,8,1,1,2,1,1,1,2,2,8,2,1,2,9,1,2,1,2,2,2,2,2,3,2,2,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,1,2,9,3,3,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,4,1,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,23,1,1,2,88,1,2,2,2,2,2,2,1,1,3,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,1,3,3,3,1,3,1,1,4,3,99,4,1,3,2,2,2,2,2,1,5,6,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,2,8,8,1,1,1,2,2,2,2,2,1,4,1,1,2,2,9,1,3,8,1,2,8,1,1,1,2,2,8,2,1,1,9,1,1,2,2,2,2,2,2,4,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,1,1,2,9,3,3,2,2,2,2,2,1,1,1,2,2,2,1,1,2,1,2,1,2,3,1,5,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,30,1,1,2,88,1,2,2,2,1,2,2,1,2,3,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,1,1,3,3,3,3,1,1,3,2,3,2,1,3,2,2,2,2,2,2,9,6,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,8,8,1,1,1,1,2,2,2,2,2,9,1,1,1,2,9,2,88,9,2,2,8,1,2,1,2,2,8,2,2,8,4,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,9,3,2,2,1,2,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,3,4,5,2,88,88,88,8888,2,88,88,88,8888,1,0,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,30,1,1,2,88,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,2,2,1,3,3,3,1,3,2,1,4,2,3,4,2,3,2,2,2,2,8,2,9,6,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,8,8,2,2,2,2,2,2,2,2,2,9,1,2,2,2,9,2,88,9,1,2,8,1,2,2,2,2,8,2,2,8,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,1,2,9,3,3,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,3,4,8,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,2,54,2,1,1,1,1,2,2,2,1,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,3,2,2,1,2,2,3,1,3,1,1,4,2,3,1,1,1,2,2,2,2,2,2,9,6,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,8,8,1,1,1,1,2,2,2,2,2,9,1,1,1,2,9,1,4,8,1,2,8,1,1,1,2,2,8,2,2,8,4,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,1,2,9,3,3,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,4,1,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,40,2,1,2,88,1,2,2,2,1,2,2,1,2,3,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,3,2,2,2,2,2,3,3,3,1,1,4,3,3,2,1,2,2,2,2,2,2,2,9,6,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,8,8,1,1,1,1,2,1,2,2,1,1,1,1,1,2,9,2,88,99,1,2,8,1,1,1,1,2,8,2,2,8,6,1,1,2,1,2,2,2,2,4,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,1,1,2,9,3,2,2,2,2,1,1,2,1,1,2,2,2,2,2,9,2,1,1,2,1,2,5,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,44,1,1,1,1,1,2,2,2,1,2,2,1,1,3,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,1,2,2,3,2,3,1,1,3,2,3,2,2,1,2,2,2,2,2,2,9,6,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,8,8,1,1,2,1,1,2,2,2,2,9,1,1,1,2,9,1,4,8,1,1,2,1,1,1,2,2,8,2,2,8,4,1,2,1,2,2,2,2,2,3,2,2,2,1,2,2,1,2,1,1,1,2,1,2,1,2,1,1,2,9,3,3,2,1,2,2,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,4,5,2,88,88,88,8888,2,88,88,88,8888,1,0,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,2,66,2,1,2,88,2,2,2,2,1,2,2,5,1,3,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,3,1,2,2,3,2,2,1,3,3,3,1,3,1,1,4,2,3,4,1,3,2,2,2,2,2,2,9,6,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,2,8,8,1,1,1,1,2,2,2,2,2,9,1,1,1,1,4,2,88,8,2,2,8,1,1,1,1,2,8,2,2,8,4,1,1,2,1,2,2,1,2,4,1,1,1,2,2,2,1,2,1,1,1,1,1,2,2,2,1,1,2,9,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,6,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,2,28,2,1,2,88,1,2,2,2,2,2,2,1,1,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,1,2,2,3,2,2,1,1,1,3,1,3,1,1,4,2,4,4,1,3,2,1,2,2,1,1,3,6,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,9,1,1,2,2,9,1,4,8,1,2,8,1,1,1,1,2,8,2,2,8,4,1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,1,2,1,2,1,1,2,9,3,2,2,1,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,3,5,10,2,88,88,88,8888,1,0,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,78,2,1,1,1,1,2,2,2,1,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,3,1,2,2,3,2,2,1,1,3,3,1,3,1,1,4,2,3,4,1,1,2,2,2,2,1,2,9,6,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,2,8,8,1,1,1,2,2,2,2,2,2,9,1,1,1,1,2,2,88,6,2,2,8,1,1,1,1,2,8,2,2,8,6,1,1,2,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,9,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,12,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,2,43,2,1,2,88,1,2,2,2,1,2,2,1,1,3,1,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,3,2,2,1,3,3,3,1,3,1,1,3,2,7,4,1,3,2,2,2,2,2,2,9,6,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,2,8,8,1,1,1,1,2,2,2,2,2,9,1,1,1,1,4,2,88,9,2,2,8,1,1,2,1,2,8,2,2,8,7,1,1,2,1,2,2,1,2,4,1,1,1,2,2,2,1,2,1,2,1,1,1,2,2,2,1,1,2,9,3,2,2,1,1,2,2,1,1,1,1,2,2,1,1,7,2,1,1,2,1,4,10,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,1,1,0,2,2016
1,1,1,42,2,1,1,2,1,2,2,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,1,2,2,3,2,2,1,1,1,3,2,3,1,1,4,2,3,4,1,1,2,2,2,2,1,2,9,6,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,2,8,8,1,1,1,2,2,2,2,2,2,9,1,1,1,1,2,2,88,9,2,2,8,1,1,1,1,2,8,2,2,8,4,1,1,1,1,2,2,1,2,4,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,9,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,6,6,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,46,2,1,2,88,2,2,2,2,1,2,2,5,1,3,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,3,2,2,1,3,3,3,1,3,1,1,4,2,3,4,2,3,2,2,2,2,8,2,9,6,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,2,8,8,1,1,1,1,2,2,2,2,2,9,1,1,1,1,4,2,88,6,2,2,8,1,1,1,1,2,8,2,2,8,4,1,1,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,9,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,5,10,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
1,1,1,29,2,1,1,2,1,2,2,2,2,1,2,1,1,3,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,3,1,1,2,3,2,2,1,3,3,3,1,3,2,1,4,3,3,4,1,1,2,2,2,2,1,1,2,6,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,2,8,8,1,2,2,2,2,2,2,2,2,9,1,1,1,1,1,1,3,8,1,1,1,1,2,2,2,2,8,2,2,8,2,1,1,2,2,2,2,1,2,4,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,9,3,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,3,4,1,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,1,0,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,88,88,88,8888,2,0,0,99,9999,2,0,0,99,9999
